|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
| Name         | RequiredIslands | GoldCost | GemsCost | Foods          | RequestSizeMultiplier | CharacterSpeed | CharacterCircles | CharacterCircleSize | TextId                     | SpeciesTextId                  | Icon                                                     | Prefab                                   | GroupId | Radius | EatDistance | Speed | RunSpeed | FlyingSpeed | AnimationSpeed | HUDPos | HUDScale | AnimationPrefix | HelperAbility | SwimmingDepth | Swimming | Flying | FlyingPrefersWalking | EatSeconds | TutorialAnimal | RandomAnimations                 |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
| Rabbit1      |               1 |        4 |          | Grass          |                       |                |                1 |                     | TID_ANIMAL_RABBIT          | TID_SPECIES_RABBIT             | UI/Icons/Assets/Characters/CharacterRabbit               | Characters/CharacterRabbit               |         |    0,6 |           1 |   2,5 |      3,5 |             |              1 |    2,6 |          | rabbit_         | Sickle        |               |          |        |                      |         10 |                | rabbit_idle_oneshot_scratch      |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
|              |                 |          |          | Branch         |                       |                |                  |                     |                            |                                |                                                          |                                          |         |        |             |       |          |             |                |        |          |                 |               |               |          |        |                      |            |                | rabbit_idle_oneshot_lookaround   |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
| Rabbit2      |               1 |        6 |          | Lupin          |                       |                |                1 |                     | TID_ANIMAL_RABBIT          | TID_SPECIES_RABBIT_TAN         | UI/Icons/Assets/Characters/CharacterRabbitTan            | Characters/CharacterRabbitTan            |         |    0,6 |           1 |   2,5 |      3,5 |             |              1 |    2,6 |          | rabbit_         | Sickle        |               |          |        |                      |         10 |                | rabbit_idle_oneshot_scratch      |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
|              |                 |          |          | Grass          |                       |                |                  |                     |                            |                                |                                                          |                                          |         |        |             |       |          |             |                |        |          |                 |               |               |          |        |                      |            |                | rabbit_idle_oneshot_lookaround   |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
| Rabbit3      |               3 |      125 |          | Carrot         |                       |                |                1 |                     | TID_ANIMAL_RABBIT          | TID_SPECIES_RABBIT_SILVER      | UI/Icons/Assets/Characters/CharacterRabbitSilver         | Characters/CharacterRabbitSilver         |         |    0,6 |           1 |   2,5 |      3,5 |             |              1 |    2,6 |          | rabbit_         | Sickle        |               |          |        |                      |         10 |                | rabbit_idle_oneshot_scratch      |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
|              |                 |          |          | Dandelion      |                       |                |                  |                     |                            |                                |                                                          |                                          |         |        |             |       |          |             |                |        |          |                 |               |               |          |        |                      |            |                | rabbit_idle_oneshot_lookaround   |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
| Rabbit4      |               4 |      800 |          | Branch         |                       |              1 |                1 |                     | TID_ANIMAL_RABBIT          | TID_SPECIES_RABBIT_WHITE       | UI/Icons/Assets/Characters/CharacterRabbitWhite          | Characters/CharacterRabbitWhite          |         |    0,6 |           1 |   2,5 |      3,5 |             |              1 |    2,6 |          | rabbit_         | Sickle        |               |          |        |                      |         10 |                | rabbit_idle_oneshot_scratch      |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
|              |                 |          |          | Dandelion      |                       |                |                  |                     |                            |                                |                                                          |                                          |         |        |             |       |          |             |                |        |          |                 |               |               |          |        |                      |            |                | rabbit_idle_oneshot_lookaround   |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
| RabbitBig    |               5 |     2800 |          | Fern           |                     4 |              1 |                1 |                     | TID_ANIMAL_RABBIT          | TID_SPECIES_RABBIT_BIG         | UI/Icons/Assets/Characters/CharacterRabbitBig            | Characters/CharacterRabbitBig            |         |    0,8 |           1 |   1,5 |        3 |             |           0,75 |    2,6 |          | rabbit_         | Sickle        |               |          |        |                      |         10 |                | rabbit_idle_oneshot_scratch      |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
|              |                 |          |          | Carrot         |                       |                |                  |                     |                            |                                |                                                          |                                          |         |        |             |       |          |             |                |        |          |                 |               |               |          |        |                      |            |                | rabbit_idle_oneshot_lookaround   |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
|              |                 |          |          | Branch         |                       |                |                  |                     |                            |                                |                                                          |                                          |         |        |             |       |          |             |                |        |          |                 |               |               |          |        |                      |            |                |                                  |
|--------------|-----------------|----------|----------|----------------|-----------------------|----------------|------------------|---------------------|----------------------------|--------------------------------|----------------------------------------------------------|------------------------------------------|---------|--------|-------------|-------|----------|-------------|----------------|--------|----------|-----------------|---------------|---------------|----------|--------|----------------------|------------|----------------|----------------------------------|
