|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
| Name                   | Parent | TextId                     | Prefab                           | PrefabCorrupted                           | UncorruptAnim           | Icon                            | Bridge | FarmSlots | FarmResource | StorageResource | ProducesResource | Capacity | ResourcesPerHour | ConstructionDays | ConstructionHours | ConstructionSeconds | RequiredIslands | GemsCost | GoldCost | InShop | Width | Height | HUDPos | Collisions | PassableTilesAround | WaterBuilding |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
| Portal                 |        | TID_BUILDING_PORTAL        | Buildings/Portal                 | Buildings/PortalCorrupted                 | portal_uncorrupt        | UI/Icons/Buildings/TownHall     |        |           |              |                 |                  |          |                  |                  |                   |                   0 |                 |          |          |        |     8 |      8 |      3 | TRUE       |                   2 |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
| StoneBridgeVertical    |        | TID_BUILDING_STONE_BRIDGE  | Buildings/StoneBridgeVertical    | Buildings/StoneBridgeVerticalCorrupted    | wooden_bridge_uncorrupt | UI/Icons/Buildings/StoneBridge  | TRUE   |           |              |                 |                  |          |                  |                  |                   |                     |                 |          |          |        |     2 |     10 |      3 | FALSE      |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
| StoneBridgeHorizontal  |        | TID_BUILDING_STONE_BRIDGE  | Buildings/StoneBridgeHorizontal  | Buildings/StoneBridgeHorizontalCorrupted  | wooden_bridge_uncorrupt | UI/Icons/Buildings/StoneBridge  | TRUE   |           |              |                 |                  |          |                  |                  |                   |                     |                 |          |          |        |    10 |      2 |      3 | FALSE      |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
| WoodenBridgeVertical   |        | TID_BUILDING_WOODEN_BRIDGE | Buildings/WoodenBridgeVertical   | Buildings/WoodenBridgeVerticalCorrupted   | wooden_bridge_uncorrupt | UI/Icons/Buildings/WoodenBridge | TRUE   |           |              |                 |                  |          |                  |                  |                   |                     |                 |          |          |        |     2 |     10 |      3 | FALSE      |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
| WoodenBridgeHorizontal |        | TID_BUILDING_WOODEN_BRIDGE | Buildings/WoodenBridgeHorizontal | Buildings/WoodenBridgeHorizontalCorrupted | wooden_bridge_uncorrupt | UI/Icons/Buildings/WoodenBridge | TRUE   |           |              |                 |                  |          |                  |                  |                   |                     |                 |          |          |        |    10 |      2 |      3 | FALSE      |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
| IslandCenter           |        | TID_BUILDING_ISLAND_CENTER | Buildings/IslandCenter           | Buildings/IslandCenterCorrupted           | islandcenter_uncorrupt  | UI/Icons/Buildings/IslandCenter |        |           |              |                 |                  |          |                  |                  |                   |                     |                 |          |          |        |     4 |      4 |      3 | TRUE       |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
|                        |        |                            |                                  |                                           |                         |                                 |        |           |              |                 |                  |          |                  |                  |                 3 |                     |               5 |          |     2000 |        |       |        |        |            |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
|                        |        |                            |                                  |                                           |                         |                                 |        |           |              |                 |                  |          |                  |                  |                 8 |                     |               8 |          |    10000 |        |       |        |        |            |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
|                        |        |                            |                                  |                                           |                         |                                 |        |           |              |                 |                  |          |                  |                1 |                   |                     |              11 |          |    40000 |        |       |        |        |            |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
|                        |        |                            |                                  |                                           |                         |                                 |        |           |              |                 |                  |          |                  |                3 |                   |                     |              14 |          |   100000 |        |       |        |        |            |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
| Well                   |        | TID_BUILDING_WELL          | Buildings/Well                   |                                           |                         | UI/Icons/Buildings/Well         |        |           |              |                 | Water            |       20 |                2 |                  |                   |                  30 |               3 |          |       50 | TRUE   |     4 |      4 |      3 | TRUE       |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
| Farm                   |        | TID_BUILDING_FARM          | Buildings/Farm                   |                                           |                         | UI/Icons/Buildings/Farm         |        |         3 | Hay          |                 |                  |          |                  |                  |                   |                  30 |               2 |          |       80 | TRUE   |     6 |      6 |      4 | TRUE       |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
|                        |        |                            |                                  |                                           |                         |                                 |        |         4 | Carrot       |                 |                  |          |                  |                  |                   |                   0 |               3 |          |      140 |        |       |        |        |            |                     |               |
|------------------------|--------|----------------------------|----------------------------------|-------------------------------------------|-------------------------|---------------------------------|--------|-----------|--------------|-----------------|------------------|----------|------------------|------------------|-------------------|---------------------|-----------------|----------|----------|--------|-------|--------|--------|------------|---------------------|---------------|
|                        |        |                            |                                  |                                           |                         |                                 |        |         5 | Grape        |                 |                  |          |                  |                  |                   |                   0 |               6 |          |     7000 |        |       |        |        |            |                     |               |
