|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
| Name       | DefaultName    | Icon                               | ShopIcon                                      | Prefab                        | Ability        | AbilityUnlockLevel | AbilityRadius | AbilityRange | Cost   | Premium | RequiredIslands | AbilitySpeedIncrease | TeamSize | Speed | RunSpeed | HUDPos | AnimationPrefix | Radius | RandomAnimations                  |  | Swimming | SwimmingDepth |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
| Forager    | Molly          | UI/Icons/Characters/icon_forager   | UI/Icons/Assets/Characters/CharacterForager   | Characters/CharacterForager   | Sickle         |                  1 |           2,3 |          0,8 |        |         |               1 |                      |          |     2 |        6 |      3 | forager_        |    0,8 | forager_idle_oneshot_lookaround   |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
|            |                |                                    |                                               |                               | Forage         |                  2 |           2,3 |          0,7 |     50 |         |               4 |                      |          |       |          |        |                 |        | forager_idle_oneshot_yawn         |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
|            |                |                                    |                                               |                               |                |                    |               |              |   2000 |         |               5 |                      |        1 |       |          |        |                 |        |                                   |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
|            |                |                                    |                                               |                               |                |                    |               |              |  12000 |         |               7 |                      |        2 |       |          |        |                 |        |                                   |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
|            |                |                                    |                                               |                               |                |                    |               |              |  75000 |         |              11 |                      |        3 |       |          |        |                 |        |                                   |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
|            |                |                                    |                                               |                               |                |                    |               |              | 250000 |         |              14 |                      |        4 |       |          |        |                 |        |                                   |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
| Lumberjack | Angus          | UI/Icons/Characters/icon_druid     | UI/Icons/Assets/Characters/CharacterDruid     | Characters/CharacterDruid     | Forage         |                  1 |           2,3 |          0,8 |     30 |         |               2 |                      |          |     2 |        6 |      3 | druid_          |    0,8 | druid_idle_oneshot_ponder         |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
|            |                |                                    |                                               |                               | Fishing        |                  4 |           2,3 |            6 |    300 |         |               4 |                      |        1 |       |          |        |                 |        | druid_idle_oneshot_practice_swing |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
|            |                |                                    |                                               |                               |                |                    |               |              |   6000 |         |               6 |                      |        2 |       |          |        |                 |        |                                   |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
|            |                |                                    |                                               |                               |                |                    |               |              |  20000 |         |               8 |                      |        2 |       |          |        |                 |        |                                   |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
|            |                |                                    |                                               |                               |                |                    |               |              | 100000 |         |              12 |                      |        3 |       |          |        |                 |        |                                   |  |          |               |
|------------|----------------|------------------------------------|-----------------------------------------------|-------------------------------|----------------|--------------------|---------------|--------------|--------|---------|-----------------|----------------------|----------|-------|----------|--------|-----------------|--------|-----------------------------------|--|----------|---------------|
