|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
| Name             | Disabled | Tier  | Weekend | Weekday | Level                | Type     | Icon                                     | IconNumber | TextId                          | CollectResourceObject | MustUseResourceAbility | ProgressFromAbility | NoDefaultResources | Resource       | ResourceProgress | ResourceCap | MaxProgressForOne | Animals      | FeedProgress | FoodCountMultiplier | Food1          | Food2          | Food3     | RewardGold | RewardGems | EventMusic      |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
| Tutorial         |          | Tier1 | TRUE    | TRUE    | ClanTutorialLevel    | collect  | UI/Icons/ClanEvents/GrassEvent           |            | TID_CLAN_EVENT_GRASS            |                       |                        |                     |                    | Grass          |                1 |         300 |               250 | Rabbit1      |              |                     | Grass          |                |           |        500 |          3 | Harvesting      |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Branch         |                  |          50 |                   | Rabbit2      |              |                     | Grass          |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Dandelion      |                  |          20 |                   | RabbitBig    |              |                     | Grass          |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    |                |                  |             |                   | Rabbit3      |              |                     | Grass          |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
| Rabbits          |          | Tier1 | TRUE    | TRUE    | ClanTutorialLevel    | feed     | UI/Icons/ClanEvents/RabbitEvent          |            | TID_CLAN_EVENT_RABBITS          |                       |                        |                     |                    | Branch         |                  |         100 |                25 | Rabbit1      |            1 |                     | Grass          | Lupin          |           |        500 |          3 | CheerfulDefault |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Lupin          |                  |          40 |                   | Rabbit2      |            1 |                     | Branch         | Grass          |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Grass          |                  |         200 |                   | Rabbit3      |            1 |                     | Dandelion      | Lupin          |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Dandelion      |                  |         100 |                   | Rabbit4      |            1 |                     | Grass          | Dandelion      |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Willow         |                  |          30 |                   | Rabbit5      |            1 |                     | Branch         | Willow         |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    |                |                  |             |                   | Rabbit6      |            1 |                     | Lupin          | Branch         |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    |                |                  |             |                   | Rabbit7      |            1 |                     | Willow         | Branch         |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    |                |                  |             |                   | Rabbit8      |            1 |                     | Dandelion      | Lupin          |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
| Basket           |          | Tier2 | TRUE    | TRUE    | ClanGrassLevel1      | basket   | UI/Icons/ClanEvents/BasketEvent          |            | TID_CLAN_EVENT_BASKET           |                       | Forage                 |                   1 |                    | Branch         |                  |          60 |               180 | RabbitBig    |              |                     | Dandelion      | Branch         | Grass     |        500 |          3 | Harvesting      |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Cep            |                  |          30 |                   | Hog5         |              |                     | Cep            | Berry          |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Dandelion      |                  |         200 |                   | Squirrel1    |              |                     | Amanita        | Branch         |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Berry          |                  |         100 |                   |              |              |                     |                |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Amanita        |                  |          10 |                   |              |              |                     |                |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Grass          |                  |         200 |                   |              |              |                     |                |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
| Moose            |          | Tier2 | TRUE    | TRUE    | ClanFallLevel1       | feed     | UI/Icons/ClanEvents/MooseEvent           |            | TID_CLAN_EVENT_MOOSE            |                       |                        |                     |                    | Branch         |                  |         200 |                 3 | Moose1       |            1 |                   2 | Branch         | Fern           | Dandelion |        500 |          3 | BiggerCreatures |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Fern           |                  |         200 |                   | Moose2       |            1 |                     | Lupin          | Fern           | Branch    |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Dandelion      |                  |          50 |                   | Moose3       |            1 |                     | Fern           | Willow         | Branch    |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Lupin          |                  |          40 |                   |              |              |                     |                |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Willow         |                  |          20 |                   |              |              |                     |                |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    |                |                  |             |                   |              |              |                     |                |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    |                |                  |             |                   |              |              |                     |                |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
| ClearThorns      |          | Tier3 | TRUE    | TRUE    | ClanGrassLevel1      | thorns   | UI/Icons/ClanEvents/ThornsEvent          |            | TID_CLAN_EVENT_THORNS           |                       |                        |                     |                    | Thorns         |                1 |         250 |               200 |              |              |                     |                |                |           |       2000 |          3 | Mysterious      |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Fern           |                  |         300 |                   |              |              |                     |                |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Dandelion      |                  |         100 |                   |              |              |                     |                |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Willow         |                  |          50 |                   |              |              |                     |                |                |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
| Sickle           |          | Tier3 | TRUE    | TRUE    | ClanGrassLevel1      | sickle   | UI/Icons/ClanEvents/SickleEvent          |            | TID_CLAN_EVENT_SICKLE           |                       | Sickle                 |                   1 |                    | Willow         |                  |         100 |               100 | Beaver1      |              |                     | Willow         | Parsley        |           |        600 |          3 | Harvesting      |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Parsley        |                  |          10 |                   | Beaver2      |              |                     | Fern           | Lupin          |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Lupin          |                  |         100 |                   | Hog7         |              |                     | Cep            | Grass          |           |            |            |                 |
|------------------|----------|-------|---------|---------|----------------------|----------|------------------------------------------|------------|---------------------------------|-----------------------|------------------------|---------------------|--------------------|----------------|------------------|-------------|-------------------|--------------|--------------|---------------------|----------------|----------------|-----------|------------|------------|-----------------|
|                  |          |       |         |         |                      |          |                                          |            |                                 |                       |                        |                     |                    | Champignon     |                  |         400 |                   |              |              |                     |                |                |           |            |            |                 |
