|-----------------------------------------|-----|------|-----|-----|
| Name                                    | Int | Bool | F32 | F64 |
|-----------------------------------------|-----|------|-----|-----|
| WaterRegenSeconds                       |     |      |     | 900 |
|-----------------------------------------|-----|------|-----|-----|
| AnimalExpPerFeeding                     |   5 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| GoldPerWater                            |  10 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ClanAnimalRequestMinutesForOne          | 120 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| IslandUpgradeResourceIncreasePercentage |  20 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| SpecialRequestUnlockLevel               |  10 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestMinWood                            |   0 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestAverageWood                        |  10 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestMaxWood                            |  50 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestMinStone                           |   0 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestAverageStone                       |   5 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestMaxStone                           |  25 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestMinGold                            |  20 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestAverageGold                        |  60 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestMaxGold                            | 300 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestGemChance                          |   2 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ChestInsectChance                       |  75 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| TutorialTaskGemReward                   |   3 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| ClanUnlockBridge                        |   4 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
| MaxIslandRefillCost                     |  20 |      |     |     |
|-----------------------------------------|-----|------|-----|-----|
