|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
| Name           | Icon                              | AnimationTool | HasCatchAnimation | AnimationLoot | ToolWhenLoot | IdleSeconds | AllowSpeedup | TargetsObject | Resources   | ResourceUnlockLevel | ResourceMinutes | MinResources | MaxResources | IdleAfterTargets | TextId                |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
| SpecialBasket  | UI/Icons/Abilities/icon_pitchfork | pitchfork     |                   |               |              |         120 | TRUE         | TRUE          | Champignon  |                     |              15 |              |              |               10 | TID_ABILITY_PITCHFORK |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
|                |                                   |               |                   |               |              |             |              |               | Dandelion   |                   2 |              30 |              |              |                1 |                       |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
|                |                                   |               |                   |               |              |             |              |               | Branch      |                   3 |              20 |              |              |               10 |                       |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
|                |                                   |               |                   |               |              |             |              |               | Berry       |                   4 |              60 |              |              |                1 |                       |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
|                |                                   |               |                   |               |              |             |              |               | Cep         |                   5 |              15 |              |              |                3 |                       |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
|                |                                   |               |                   |               |              |             |              |               | Blueberry   |                   6 |              60 |              |              |                1 |                       |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
|                |                                   |               |                   |               |              |             |              |               | Amanita     |                   7 |              10 |              |              |                3 |                       |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
|                |                                   |               |                   |               |              |             |              |               | Scallop     |                   8 |              20 |              |              |                1 |                       |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
|                |                                   |               |                   |               |              |             |              |               | Snowberry   |                   9 |              90 |              |              |               10 |                       |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
|                |                                   |               |                   |               |              |             |              |               | Chanterelle |                  10 |              20 |              |              |                3 |                       |
|----------------|-----------------------------------|---------------|-------------------|---------------|--------------|-------------|--------------|---------------|-------------|---------------------|-----------------|--------------|--------------|------------------|-----------------------|
| SpecialSickle  | UI/Icons/Abilities/icon_mower     | mower         |                   |               |              |          30 | TRUE         | TRUE          | Grass       |                     |              15 |              |              |               10 | TID_ABILITY_MOWER     |
